"GEOID","B01001_001","B25001_001","B26001_001","ratioReturnsIndividuals_lt25k","avgTaxLiabilityperReturn_lt25k","ratioReturnsIndividuals_gte200k","avgTaxLiabilityperReturn_gte200k","RPPAll","TotalTax","pctlivingbelow150pctfederalpoverty","pctwhitecollarjob","incomepercapita","ratioofthosemakingunder10ktothosemakingover50k","ownprcinc","medianmortgage","rentprcinc","gini_index","pctPopulationWithNoInsurance","pctRetirementInc","pctSSI","pctSocialSec","perHomesNoMortgage","economic_score","economic_rnk","income_score","affordability_score","wealth_score","equity_score","economic_state_rnk","NAME"
"01001",59285,24731,503,0.711764705882353,0.892226148409894,0.356164383561644,62.9355769230769,1.04508334762823,3.26857302157213,19.802148780031,35.4825259646729,36.227,0.0568205128205128,1490,0.953,2540,0.4515,7.36458854589064,28.1845224881233,5.51436309550238,35.4304488744839,0.448613086770981,103.55,59.1531755915318,102.43,93.88,90.63,89.87,86.3636363636364,"Autauga County, Alabama"
"01003",239945,128518,3280,0.747492756853131,1.04071478626489,0.368906455862978,99.3129916567342,4.22978027910356,3.26857302157213,17.8655403086752,35.9058381101902,40.775,0.0629092758598767,1550,1.098,2770,0.4589,8.16969717453022,29.9718940850785,4.26871790536971,39.0344667272458,0.414575980158352,108.89,70.1432129514321,110.93,105.19,95.36,110.52,92.4242424242424,"Baldwin County, Alabama"
"01005",24757,11702,3067,0.630534351145038,1.19930555555556,0.379310344827586,101.577272727273,0.436419472669849,3.26857302157213,36.7944572748268,27.05703599813,25.439,0.24123246492986,1640,0.632,2520,0.5061,10.8369840903851,22.3348017621145,9.7136563876652,45.363436123348,0.567232375979112,76.2,10.3051058530511,72.83,92.03,113.83,139.88,24.2424242424242,"Barbour County, Alabama"
"01007",22152,9090,1382,0.642691415313225,0.92952380952381,0.361702127659574,65.9941176470588,0.390498208934139,3.26857302157213,30.9552483260273,23.6165422443417,26.022,0.125291828793774,1400,0.566,3350,0.4526,8.32491217939464,28.7544577994981,8.00422665433893,42.6760005283318,0.603285983227794,80.45,15.4732254047323,80.36,89.6,115.91,96.03,39.3939393939394,"Bibb County, Alabama"
"01009",59292,24793,572,0.68675799086758,1.05631399317406,0.365591397849462,79.2558823529412,1.04520674449815,3.26857302157213,22.3915452143527,27.4556536688286,30.656,0.106350966107064,1430,0.746,3020,0.4461,10.1939519624675,27.8063429949493,8.82741047458707,39.8689539063566,0.488925771189836,90.12,30.8530510585305,89.99,92.07,104.53,108.21,69.6969696969697,"Blount County, Alabama"
"01011",10157,4554,1035,0.591362126245847,0.987931034482759,0.428571428571429,55.8166666666667,0.179048858258579,3.26857302157213,49.7264171591158,20.568746548868,21.462,0.316182572614108,1690,0.563,4280,0.4981,12.9423328964613,13.958876339415,13.5244714740805,48.5375036200405,0.620611035111719,61.54,2.3972602739726,53.54,107.64,128.42,117.77,4.54545454545455,"Bullock County, Alabama"
"01013",18807,9841,313,0.582846003898636,0.98659793814433,0.390243902439024,82.26875,0.331532133235119,3.26857302157213,32.5012183895598,25.157064563561,28.306,0.143543543543544,1340,0.579,2880,0.4969,12.2638454064558,28.4494629578628,10.5480583861195,42.990911594602,0.629428341384863,73.71,7.84557907845579,73.27,83.51,121.06,118.05,16.6666666666667,"Butler County, Alabama"
"01015",116141,53271,4020,0.662080129502226,0.902194357366771,0.382758620689655,94.9981981981982,2.0473479813931,3.26857302157213,27.629863752433,32.4566610041139,29.571,0.145395063773397,1460,0.713,2790,0.4586,11.0927398542547,28.6559556786704,7.33296398891967,39.0182825484764,0.489452805238965,90.63,31.8493150684932,87.1,91.86,103.33,104.62,71.2121212121212,"Calhoun County, Alabama"
"01017",34450,16427,669,0.609953703703704,0.921134020618557,0.39344262295082,74.2583333333333,0.607288881264947,3.26857302157213,28.7898580844368,27.8855413399367,27.868,0.0990338164251208,1560,0.62,2260,0.4367,12.2382873465061,24.3609806990089,8.85311871227364,43.6992324316268,0.528448456854923,83.06,18.9912826899128,79.63,86.94,112.99,97.47,46.969696969697,"Chambers County, Alabama"
"01019",25224,14663,283,0.637023593466425,0.973758865248227,0.388888888888889,74.7535714285714,0.444651806706154,3.26857302157213,26.3804422248178,34.6938775510204,31.36,0.0930408472012103,1500,0.59,2650,0.4541,9.01875901875902,28.9586713753937,5.7077407654863,45.4805765009067,0.621936568957232,86.87,25.6849315068493,90.36,87.47,116.22,101.41,60.6060606060606,"Cherokee County, Alabama"
