"geoid","geolevel","year","income_score","affordability_score","wealth_score","equity_score","level","value"
"02290000400","tract",2020,118.02,69.69,132.98,60.47,"economic_rnk",1.5651
"02013000100","tract",2020,90.82,66.53,106.95,115.55,"economic_state_rnk",11.6959
"02016000100","tract",2020,95.53,63.08,124.66,93.14,"economic_state_rnk",9.9415
"02016000200","tract",2020,76.46,100.77,75.84,75.42,"economic_state_rnk",76.6082
"02020000101","tract",2020,79.63,108.78,111.02,71.63,"economic_state_rnk",93.5673
"02020000102","tract",2020,84.86,111.33,104.95,73.45,"economic_state_rnk",79.5322
"02020000201","tract",2020,83.09,116.09,82.49,75.91,"economic_state_rnk",82.4561
"02020000202","tract",2020,83.81,113.61,91.21,76.16,"economic_state_rnk",86.5497
"02020000204","tract",2020,73.89,110.02,102.68,67.91,"economic_state_rnk",98.2456
"02020000205","tract",2020,74.1,118.7,83.78,67.34,"economic_state_rnk",94.7368
"02020000206","tract",2020,70.79,107.34,96.82,63.33,"economic_state_rnk",96.4912
"02020000500","tract",2020,110.28,110.12,87.4,84.6,"economic_state_rnk",39.7661
"02020000601","tract",2020,123.96,114.02,92.33,74.01,"economic_state_rnk",15.7895
"02020000602","tract",2020,124.82,109.96,92.9,80.4,"economic_state_rnk",8.1871
"02020000701","tract",2020,95.67,109.82,93.29,75.08,"economic_state_rnk",63.7427
"02020000702","tract",2020,100.12,114.15,89.32,72.59,"economic_state_rnk",59.6491
"02020000703","tract",2020,101.42,107.24,92.89,77.44,"economic_state_rnk",38.0117
"02020000801","tract",2020,98.73,108.87,93.89,78.42,"economic_state_rnk",40.9357
"02020000802","tract",2020,104.16,103.07,82.49,81.7,"economic_state_rnk",36.8421
"02020000901","tract",2020,118.51,99.67,102.56,77.09,"economic_state_rnk",9.3567
"02020000902","tract",2020,105.8,101.29,112.71,77.14,"economic_state_rnk",30.4094
"02020001000","tract",2020,94.22,109.36,80.62,83.46,"economic_state_rnk",53.2164
"02020001100","tract",2020,NA,NA,NA,NA,"economic_state_rnk",NA
"02020001200","tract",2020,66.75,103.89,95.98,75.5,"economic_state_rnk",95.3216
"02020001300","tract",2020,62.34,118.94,111.02,76.55,"economic_state_rnk",97.076
"02020001401","tract",2020,82.6,89.45,85.87,82.8,"economic_state_rnk",54.6784
"02020001402","tract",2020,85.39,101.11,79.91,70.88,"economic_state_rnk",77.193
"02020001500","tract",2020,83.44,111.65,109.33,72.41,"economic_state_rnk",84.2105
"02020001601","tract",2020,85.04,96.84,83.62,73.58,"economic_state_rnk",73.6842
"02020001602","tract",2020,82.55,108.81,85.38,70.28,"economic_state_rnk",90.0585
"02020001701","tract",2020,86.16,113.38,88.49,74.56,"economic_state_rnk",78.3626
"02020001702","tract",2020,81.27,106.2,90.13,75.79,"economic_state_rnk",84.7953
"02020001731","tract",2020,90.79,100.92,107.23,81,"economic_state_rnk",50.8772
"02020001732","tract",2020,81.81,106.37,101.12,69.71,"economic_state_rnk",87.1345
"02020001801","tract",2020,87.67,121.68,71.91,78.1,"economic_state_rnk",85.3801
"02020001802","tract",2020,90.99,104.73,91.54,69.85,"economic_state_rnk",55.5556
"02020001900","tract",2020,92.14,99.56,91.36,79.29,"economic_state_rnk",42.6901
"02020002000","tract",2020,109.1,91.72,93.22,80.9,"economic_state_rnk",21.0526
"02020002100","tract",2020,93.11,105.88,90.99,83,"economic_state_rnk",48.2456
"02020002201","tract",2020,80.84,103.52,97.05,78.69,"economic_state_rnk",81.8713
"02020002202","tract",2020,84.53,103.52,86.73,78.23,"economic_state_rnk",75.4386
"02020002301","tract",2020,72.24,120.32,83.32,71.81,"economic_state_rnk",97.6608
"02020002302","tract",2020,83.24,107.47,77.75,76.1,"economic_state_rnk",88.0117
"02020002304","tract",2020,89.05,114.29,76.9,72.48,"economic_state_rnk",83.0409
"02020002305","tract",2020,98.02,109.4,80.7,72.56,"economic_state_rnk",56.4327
"02020002400","tract",2020,86.82,106.39,87.79,81.83,"economic_state_rnk",70.1754
"02020002501","tract",2020,79.66,113.25,78.02,74.13,"economic_state_rnk",89.4737
"02020002502","tract",2020,89.65,112.19,80.67,86.05,"economic_state_rnk",61.9883
"02020002601","tract",2020,93.51,111.51,79.87,79.92,"economic_state_rnk",66.0819
"02020002602","tract",2020,82.94,111.28,81.47,71.47,"economic_state_rnk",88.8889
"02020002603","tract",2020,80.59,105.33,81.65,67.5,"economic_state_rnk",94.152
"02020002711","tract",2020,72.6,115.77,76.85,74.41,"economic_state_rnk",98.8304
"02020002712","tract",2020,87.61,108.24,87.17,76.35,"economic_state_rnk",72.5146
"02020002713","tract",2020,78.54,96.84,113.56,73.55,"economic_state_rnk",76.0234
"02020002714","tract",2020,93.94,117.14,82.74,74.7,"economic_state_rnk",74.269
"02020002811","tract",2020,86.28,105.06,82.43,79.07,"economic_state_rnk",63.1579
"02020002812","tract",2020,75.06,108.87,86.49,76.8,"economic_state_rnk",95.9064
"02020002813","tract",2020,56.24,114.58,100.33,74.31,"economic_state_rnk",99.4152
"02020002821","tract",2020,73.62,106.96,107.25,74.44,"economic_state_rnk",92.3977
"02020002822","tract",2020,79.55,106.75,98.38,76.24,"economic_state_rnk",91.8129
"02020002823","tract",2020,62.93,113.36,105.16,68.81,"economic_state_rnk",100
"02020002900","tract",2020,75.59,100.82,82.79,76.52,"economic_state_rnk",91.2281
"02020980000","tract",2020,NA,NA,NA,NA,"economic_state_rnk",NA
"02020980100","tract",2020,90.42,99.32,53.46,65.07,"economic_state_rnk",73.0994
"02020980200","tract",2020,97.02,98.92,78.12,70.89,"economic_state_rnk",50.2924
"02050000100","tract",2020,143.95,62.07,114.17,52.03,"economic_state_rnk",0
"02050000200","tract",2020,110.35,82.12,86.54,51.19,"economic_state_rnk",21.6374
"02050000300","tract",2020,126.82,67.06,106.98,60.33,"economic_state_rnk",2.924
"02060000100","tract",2020,84.62,73.82,100.59,108.92,"economic_state_rnk",45.0292
"02063000200","tract",2020,72.83,67.45,101.41,92.15,"economic_state_rnk",44.4444
"02063000300","tract",2020,76.44,74.8,101.02,93.02,"economic_state_rnk",47.3684
"02066000100","tract",2020,94.22,59.03,109.95,75.69,"economic_state_rnk",16.9591
"02068000100","tract",2020,NA,NA,NA,NA,"economic_state_rnk",NA
"02070000100","tract",2020,123.91,66.69,103.2,99.96,"economic_state_rnk",6.4327
"02070000200","tract",2020,101.25,80.97,81.25,95.03,"economic_state_rnk",33.3333
"02090000100","tract",2020,107.81,89.78,117.38,75.66,"economic_state_rnk",19.883
"02090000200","tract",2020,88.31,74.22,105.43,64.46,"economic_state_rnk",45.614
"02090000300","tract",2020,94.22,85.16,99.23,74.19,"economic_state_rnk",26.3158
"02090000400","tract",2020,89.2,95.6,94.88,65.46,"economic_state_rnk",62.5731
"02090000500","tract",2020,82.98,87.59,101.04,65.62,"economic_state_rnk",68.4211
"02090000600","tract",2020,81.27,97.36,103.33,71.96,"economic_state_rnk",57.3099
"02090000700","tract",2020,80.95,98.91,96.44,67.38,"economic_state_rnk",66.6667
"02090000800","tract",2020,87.57,92.23,86.63,67.1,"economic_state_rnk",69.5906
"02090000900","tract",2020,75.43,86.78,82.47,71.18,"economic_state_rnk",90.6433
"02090001000","tract",2020,85.3,80.84,118.96,73.77,"economic_state_rnk",37.4269
"02090001200","tract",2020,77.5,90.05,101.86,63.68,"economic_state_rnk",77.7778
"02090001300","tract",2020,83.64,88.33,102.2,68.55,"economic_state_rnk",64.9123
"02090001401","tract",2020,79.59,87.08,101.5,76.13,"economic_state_rnk",64.3275
"02090001402","tract",2020,87.62,89.32,84.53,74.33,"economic_state_rnk",54.6784
"02090001501","tract",2020,84.37,95.47,86.23,64.75,"economic_state_rnk",74.8538
"02090001502","tract",2020,83.39,89.12,100.96,72.22,"economic_state_rnk",71.9298
"02090001600","tract",2020,86.59,93.75,89.96,65.69,"economic_state_rnk",69.0058
"02090001700","tract",2020,96.04,86.12,110.89,69.07,"economic_state_rnk",27.4854
"02090001901","tract",2020,74.44,84.27,93.14,70.62,"economic_state_rnk",78.9474
"02090001902","tract",2020,74.08,90.4,95.72,74.52,"economic_state_rnk",60.2339
"02090980000","tract",2020,88.12,87.05,93.18,60.65,"economic_state_rnk",28.655
"02090980100","tract",2020,82.46,130.24,74.09,62.1,"economic_state_rnk",83.6257
"02100000100","tract",2020,98.17,75.61,126.13,90.56,"economic_state_rnk",23.3918
"02105000400","tract",2020,98.38,60.49,125.89,90.37,"economic_state_rnk",12.8655
"02110000100","tract",2020,69.42,92.88,107.42,63,"economic_state_rnk",92.9825
"02110000200","tract",2020,74.39,86.77,96.45,67.21,"economic_state_rnk",80.117
"02110000300","tract",2020,74.55,91.17,92,61,"economic_state_rnk",88.0117
"02110000400","tract",2020,94.03,78.81,103.46,72.62,"economic_state_rnk",24.5614
"02110000500","tract",2020,78.84,81.69,113.45,70.81,"economic_state_rnk",67.5439
"02110000600","tract",2020,78.84,91.06,92.45,67.03,"economic_state_rnk",81.2865
"02122000100","tract",2020,98.11,63.42,108.58,117.67,"economic_state_rnk",3.5088
"02122000200","tract",2020,95.25,80.67,129.29,89.28,"economic_state_rnk",18.7135
"02122000300","tract",2020,88.6,77.01,111.69,79.64,"economic_state_rnk",41.5205
"02122000400","tract",2020,88.6,81.11,121.83,90.46,"economic_state_rnk",40.3509
"02122000500","tract",2020,93.85,83.26,106.25,86.4,"economic_state_rnk",33.9181
"02122000600","tract",2020,97.71,85.32,103.1,83.56,"economic_state_rnk",34.5029
"02122000701","tract",2020,91.29,70.13,113.57,86,"economic_state_rnk",31.5789
"02122000702","tract",2020,89.72,83.05,113.26,80.3,"economic_state_rnk",51.462
"02122000800","tract",2020,99.83,75.03,131.63,88.11,"economic_state_rnk",13.4503
"02122000900","tract",2020,84.43,79.49,106.11,79.27,"economic_state_rnk",59.0643
"02122001000","tract",2020,92.98,92.92,106.43,85.43,"economic_state_rnk",43.2749
"02122001100","tract",2020,92.4,83.38,106.73,90.9,"economic_state_rnk",28.0702
"02122001200","tract",2020,96.93,66.22,128.31,89.55,"economic_state_rnk",14.0351
"02122001300","tract",2020,94.9,83.62,100.37,83.69,"economic_state_rnk",32.7485
"02130000101","tract",2020,82.48,85.51,111.64,75.88,"economic_state_rnk",65.4971
"02130000102","tract",2020,74.1,66.12,116.69,78.91,"economic_state_rnk",48.2456
"02130000200","tract",2020,91.42,87.23,103.21,82.16,"economic_state_rnk",35.6725
"02130000300","tract",2020,98.49,91.11,98.55,86.55,"economic_state_rnk",30.9942
"02130000400","tract",2020,82.94,85.47,107.02,77.66,"economic_state_rnk",71.345
"02150000100","tract",2020,94.17,80.27,108.04,102.65,"economic_state_rnk",22.2222
"02150000200","tract",2020,85.83,93.77,92.23,95.72,"economic_state_rnk",58.4795
"02150000300","tract",2020,93.39,93.91,105.9,98.28,"economic_state_rnk",26.9006
"02150000400","tract",2020,84.94,93.37,127.87,93.22,"economic_state_rnk",42.1053
"02150000500","tract",2020,87.04,84.08,56.53,77.66,"economic_state_rnk",85.9649
"02158000100","tract",2020,140.2,67.98,111.87,56.22,"economic_state_rnk",1.7544
"02164000100","tract",2020,116.85,61.77,104.84,102.74,"economic_state_rnk",7.0175
"02170000101","tract",2020,92.35,72.22,118.25,95.5,"economic_state_rnk",8.7719
"02170000102","tract",2020,98.71,82.51,105.96,82.87,"economic_state_rnk",20.4678
"02170000200","tract",2020,99.47,76.92,120.2,79.14,"economic_state_rnk",19.2982
"02170000300","tract",2020,92.84,92.71,103.71,75.66,"economic_state_rnk",49.7076
"02170000401","tract",2020,108.58,95.49,98.94,82.44,"economic_state_rnk",12.2807
"02170000402","tract",2020,108.06,93.14,109.81,78.61,"economic_state_rnk",16.3743
"02170000501","tract",2020,97.42,91.46,100.01,82.77,"economic_state_rnk",22.807
"02170000502","tract",2020,100.3,88.64,88.94,84.88,"economic_state_rnk",25.1462
"02170000601","tract",2020,87.08,94.33,100.65,70.36,"economic_state_rnk",70.7602
"02170000603","tract",2020,91.14,98.13,84.86,70.3,"economic_state_rnk",60.8187
"02170000604","tract",2020,97.04,102.66,81.31,75.46,"economic_state_rnk",53.8012
"02170000701","tract",2020,98.68,96.09,97.24,79.74,"economic_state_rnk",36.2573
"02170000703","tract",2020,95.82,99.31,101.19,78.78,"economic_state_rnk",32.1637
"02170000705","tract",2020,89.36,92.62,89.44,81.18,"economic_state_rnk",52.3392
"02170000706","tract",2020,95.99,99.6,84.66,73.45,"economic_state_rnk",49.1228
"02170000800","tract",2020,101.21,100.76,94.22,84.17,"economic_state_rnk",35.0877
"02170000900","tract",2020,99.86,99.43,100.69,79.94,"economic_state_rnk",29.8246
"02170001001","tract",2020,93.64,97.44,96.98,73.45,"economic_state_rnk",56.4327
"02170001003","tract",2020,96.82,97.59,94.39,75.44,"economic_state_rnk",46.7836
"02170001004","tract",2020,91.47,96.18,87.6,75.82,"economic_state_rnk",57.8947
"02170001100","tract",2020,83.5,99.04,79.33,70.38,"economic_state_rnk",80.7018
"02170001201","tract",2020,99.41,94.72,100.48,75.49,"economic_state_rnk",38.5965
"02170001202","tract",2020,97.02,98.42,86.87,72.27,"economic_state_rnk",61.4035
"02170001300","tract",2020,89.19,91.25,101.65,77.95,"economic_state_rnk",43.8596
"02180000100","tract",2020,138.33,66.4,107.21,68.18,"economic_state_rnk",2.3392
"02180000200","tract",2020,97.16,82.74,82.21,61.64,"economic_state_rnk",39.1813
"02185000100","tract",2020,87.35,62.41,87.35,50.1,"economic_state_rnk",29.2398
"02185000200","tract",2020,92.6,61.66,97.29,50.32,"economic_state_rnk",14.6199
"02185000300","tract",2020,NA,NA,NA,NA,"economic_state_rnk",NA
"02188000100","tract",2020,134.11,72.5,102.21,63.93,"economic_state_rnk",4.0936
"02188000200","tract",2020,108.72,64.58,84.15,62.66,"economic_state_rnk",15.2047
"02195000200","tract",2020,94.65,75.79,119.81,106.42,"economic_state_rnk",23.9766
"02198000100","tract",2020,107.54,64.34,132.68,99.11,"economic_state_rnk",5.848
"02198000200","tract",2020,99.75,68.63,117.9,97.09,"economic_state_rnk",11.1111
"02198000300","tract",2020,NA,NA,NA,NA,"economic_state_rnk",NA
"02198940100","tract",2020,113.42,59.48,115.52,91.04,"economic_state_rnk",7.6023
"02220000100","tract",2020,73.71,80.84,101.03,101.1,"economic_state_rnk",67.5439
"02220000200","tract",2020,82.32,84.01,105.99,104.92,"economic_state_rnk",52.3392
"02230000100","tract",2020,80.16,70.68,110.69,84.5,"economic_state_rnk",46.1988
"02240000100","tract",2020,106.44,57.11,112.88,81.77,"economic_state_rnk",10.5263
"02240000400","tract",2020,94.49,68.04,108.21,77.44,"economic_state_rnk",25.731
"02275000300","tract",2020,95.05,69.8,126.89,90.06,"economic_state_rnk",18.1287
"02282000100","tract",2020,98.89,62.09,113.1,131.8,"economic_state_rnk",17.5439
"02290000100","tract",2020,127.74,65.06,135.79,50.46,"economic_state_rnk",1.1696
"02290000200","tract",2020,100.93,62.34,130.99,56.31,"economic_state_rnk",5.2632
"02290000300","tract",2020,109.45,63.31,134.08,54.44,"economic_state_rnk",4.6784
"02290000400","tract",2020,118.02,69.69,132.98,60.47,"economic_state_rnk",0.5848
